row,"ground truth ( divided by , each item in ?�??�?)",group,random,semantic_sim,seperate
Developing nations comprise what percentage of the world 's population ?,"""82 percent"" | ""82%""",Developing nations are home to approximately 82% of the world's population as of recent estimates.,"As of 2021, approximately 82% of the world's population lives in what are considered developing nations.",Developing nations comprise approximately 80% of the world's population.,"As of 2021, developing nations comprised about 80% of the world's population."
During which season do most thunderstorms occur ?,"""summer""",Most thunderstorms occur during the summer season.,Most thunderstorms occur during the summer season.,Most thunderstorms occur during the spring and summer seasons.,Most thunderstorms occur during the spring and summer seasons.
For how long is an elephant pregnant ?,"""22 months""",An elephant is pregnant for about 22 months.,An elephant is pregnant for approximately 22 months.,An elephant is pregnant for approximately 22 months.,An elephant is pregnant for approximately 22 months.
George Bush purchased a small interest in which baseball team ?,"""Texas Rangers""",George Bush purchased a small interest in the Texas Rangers baseball team.,George Bush purchased a small interest in the Texas Rangers baseball team.,George Bush purchased a small interest in the Texas Rangers baseball team.,Texas Rangers
How cold should a refrigerator be ?,"""34"" | ""40"", ""Celcius"" | ""F"" | ""Fahrenheit"" | ""C""",A refrigerator should be kept at or below 4 degrees Celsius or 40 degrees Fahrenheit.,A refrigerator should typically be set to around 37?�?40??F (3-4??C) for optimal performance.,A refrigerator should be approximately 37F (3??C).,The U.S. Food and Drug Administration (FDA) recommends keeping your refrigerator at or below 40?? F (4?? C).
How did Janice Joplin die ?,"""overdose"", ""drug"" | ""heroin""","Janis Joplin died of a heroin overdose on October 4, 1970. It was officially ruled as an accidental drug overdose, although some speculate that it might have been a suicide.","Janis Joplin died due to a heroin overdose, potentially compounded by alcohol, in 1970.","Janis Joplin died of a heroin overdose, possibly combined with the effects of alcohol, on October 4, 1970.","Janis Joplin died of a heroin overdose on October 4, 1970."
How do you measure earthquakes ?,"""seismograph""",Earthquakes are measured using a tool called a seismograph. This tool records the seismic waves produced by an earthquake and creates a seismogram. The magnitude of an earthquake is determined using data from these seismograms. The most commonly used scale to measure earthquake magnitude is the Richter scale.:,"Earthquakes are measured using seismographs. The magnitude or size of an earthquake is defined by the Richter scale, a measure of the seismic energy released by an earthquake. The severity of shaking and damage caused by an earthquake is defined by the Modified Mercalli Intensity scale.",Earthquakes are measured by a seismograph and the magnitude is often reported on the Richter scale.,"Earthquakes are measured using instruments called seismometers that detect and record the vibrations caused by seismic waves as they move through the earth. The recorded data is used to calculate the earthquake's magnitude, typically using the Richter scale or the moment magnitude scale (MWS), which is a more accurate measure of large, distant, or deep earthquakes. The effects of an earthquake are also measured by the Modified Mercalli Intensity (MMI) scale, which rates the severity of earthquake shaking from I (not felt) to XII (total destruction)."
How far away is the moon ?,"""238,855 miles""","The moon is approximately 238,855 miles away from Earth.","The moon is approximately 238,855 miles away from Earth.","The moon is approximately 238,855 miles away from Earth.","The average distance from the Moon to the Earth is about 238,855 miles (384,400 km)."
How far is Pluto from the sun ?,"""3.67 billion miles"" | ""5.91 billion kilometers""","On average, Pluto is about 3.67 billion miles (5.91 billion kilometers) from the Sun.",The average distance of Pluto from the sun is approximately 3.67 billion miles or 5.9 billion kilometers.,Pluto is approximately 3.67 billion miles away from the sun.,Pluto is approximately 3.67 billion miles (5.9 billion kilometers) away from the sun.
How far is a nautical mile ?,"""1.852 kilometers"" | ""1.15078 miles"" | ""1.15 miles""",A nautical mile is equivalent to 1.1508 miles or 1.852 kilometers.,A nautical mile is equal to 1.852 kilometers or 1.15078 miles.,A nautical mile is approximately 1.852 kilometers or 1.15078 miles.,A nautical mile is approximately 1.15078 statute miles or 1.852 kilometers.
